Date (Year-Month),Location,Category,Reference_Index,Index(%)
2002-01,Canada,Total (house and land),"Index, 201612=100",60.4
2002-01,Canada,House only,"Index, 201612=100",57.6
2002-01,Canada,Land only,"Index, 201612=100",68.0
2002-01,Atlantic Region,Total (house and land),"Index, 201612=100",65.5
2002-01,Atlantic Region,House only,"Index, 201612=100",67.0
2002-01,Atlantic Region,Land only,"Index, 201612=100",60.8
2002-01,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",50.6
2002-01,Newfoundland and Labrador,House only,"Index, 201612=100",52.2
2002-01,Newfoundland and Labrador,Land only,"Index, 201612=100",46.3
2002-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",50.6
2002-01,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",52.2
2002-01,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",46.3
2002-01,Prince Edward Island,Total (house and land),"Index, 201612=100",85.9
2002-01,Prince Edward Island,House only,"Index, 201612=100",88.5
2002-01,Prince Edward Island,Land only,"Index, 201612=100",74.2
2002-01,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",85.9
2002-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
2002-01,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",74.2
2002-01,Nova Scotia,Total (house and land),"Index, 201612=100",68.3
2002-01,Nova Scotia,House only,"Index, 201612=100",67.6
2002-01,Nova Scotia,Land only,"Index, 201612=100",70.8
2002-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
2002-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
2002-01,"Halifax, Nova Scotia",Land only,"Index, 201612=100",70.8
2002-01,New Brunswick,Total (house and land),"Index, 201612=100",78.7
2002-01,New Brunswick,House only,"Index, 201612=100",79.2
2002-01,New Brunswick,Land only,"Index, 201612=100",78.9
2002-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",78.7
2002-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",79.2
2002-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",78.9
2002-01,Quebec,Total (house and land),"Index, 201612=100",61.7
2002-01,Quebec,House only,"Index, 201612=100",63.5
2002-01,Quebec,Land only,"Index, 201612=100",57.4
2002-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",60.0
2002-01,"Québec, Quebec",House only,"Index, 201612=100",66.8
2002-01,"Québec, Quebec",Land only,"Index, 201612=100",47.5
2002-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2002-01,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2002-01,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2002-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2002-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2002-01,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2002-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",61.9
2002-01,"Montréal, Quebec",House only,"Index, 201612=100",62.8
2002-01,"Montréal, Quebec",Land only,"Index, 201612=100",60.3
2002-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2002-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2002-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2002-01,Ontario,Total (house and land),"Index, 201612=100",60.6
2002-01,Ontario,House only,"Index, 201612=100",53.6
2002-01,Ontario,Land only,"Index, 201612=100",78.8
2002-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",69.0
2002-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",67.1
2002-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",80.0
2002-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2002-01,"Oshawa, Ontario",House only,"Index, 201612=100",
2002-01,"Oshawa, Ontario",Land only,"Index, 201612=100",
2002-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.1
2002-01,"Toronto, Ontario",House only,"Index, 201612=100",48.2
2002-01,"Toronto, Ontario",Land only,"Index, 201612=100",78.1
2002-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.0
2002-01,"Hamilton, Ontario",House only,"Index, 201612=100",55.9
2002-01,"Hamilton, Ontario",Land only,"Index, 201612=100",77.3
2002-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",63.0
2002-01,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",59.1
2002-01,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",73.2
2002-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.1
2002-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.7
2002-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.6
2002-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2002-01,"Guelph, Ontario",House only,"Index, 201612=100",
2002-01,"Guelph, Ontario",Land only,"Index, 201612=100",
2002-01,"London, Ontario",Total (house and land),"Index, 201612=100",66.3
2002-01,"London, Ontario",House only,"Index, 201612=100",60.3
2002-01,"London, Ontario",Land only,"Index, 201612=100",92.8
2002-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
2002-01,"Windsor, Ontario",House only,"Index, 201612=100",96.4
2002-01,"Windsor, Ontario",Land only,"Index, 201612=100",84.9
2002-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.5
2002-01,"Greater Sudbury, Ontario",House only,"Index, 201612=100",81.6
2002-01,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.6
2002-01,Prairie Region,Total (house and land),"Index, 201612=100",47.7
2002-01,Prairie Region,House only,"Index, 201612=100",49.8
2002-01,Prairie Region,Land only,"Index, 201612=100",44.2
2002-01,Manitoba,Total (house and land),"Index, 201612=100",46.7
2002-01,Manitoba,House only,"Index, 201612=100",51.6
2002-01,Manitoba,Land only,"Index, 201612=100",35.2
2002-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.7
2002-01,"Winnipeg, Manitoba",House only,"Index, 201612=100",51.6
2002-01,"Winnipeg, Manitoba",Land only,"Index, 201612=100",35.2
2002-01,Saskatchewan,Total (house and land),"Index, 201612=100",43.4
2002-01,Saskatchewan,House only,"Index, 201612=100",44.7
2002-01,Saskatchewan,Land only,"Index, 201612=100",40.2
2002-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.6
2002-01,"Regina, Saskatchewan",House only,"Index, 201612=100",40.0
2002-01,"Regina, Saskatchewan",Land only,"Index, 201612=100",34.6
2002-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.7
2002-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.2
2002-01,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",44.3
2002-01,Alberta,Total (house and land),"Index, 201612=100",48.3
2002-01,Alberta,House only,"Index, 201612=100",50.3
2002-01,Alberta,Land only,"Index, 201612=100",45.3
2002-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.7
2002-01,"Calgary, Alberta",House only,"Index, 201612=100",46.0
2002-01,"Calgary, Alberta",Land only,"Index, 201612=100",43.1
2002-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",52.3
2002-01,"Edmonton, Alberta",House only,"Index, 201612=100",55.8
2002-01,"Edmonton, Alberta",Land only,"Index, 201612=100",46.2
2002-01,British Columbia,Total (house and land),"Index, 201612=100",75.6
2002-01,British Columbia,House only,"Index, 201612=100",73.4
2002-01,British Columbia,Land only,"Index, 201612=100",82.3
2002-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2002-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
2002-01,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2002-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.6
2002-01,"Vancouver, British Columbia",House only,"Index, 201612=100",70.8
2002-01,"Vancouver, British Columbia",Land only,"Index, 201612=100",85.9
2002-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.1
2002-01,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
2002-01,"Victoria, British Columbia",Land only,"Index, 201612=100",59.4
2002-02,Canada,Total (house and land),"Index, 201612=100",60.8
2002-02,Canada,House only,"Index, 201612=100",58.1
2002-02,Canada,Land only,"Index, 201612=100",68.1
2002-02,Atlantic Region,Total (house and land),"Index, 201612=100",65.7
2002-02,Atlantic Region,House only,"Index, 201612=100",67.2
2002-02,Atlantic Region,Land only,"Index, 201612=100",61.1
2002-02,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",51.2
2002-02,Newfoundland and Labrador,House only,"Index, 201612=100",52.9
2002-02,Newfoundland and Labrador,Land only,"Index, 201612=100",46.8
2002-02,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",51.2
2002-02,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",52.9
2002-02,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",46.8
2002-02,Prince Edward Island,Total (house and land),"Index, 201612=100",86.2
2002-02,Prince Edward Island,House only,"Index, 201612=100",88.6
2002-02,Prince Edward Island,Land only,"Index, 201612=100",75.1
2002-02,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",86.2
2002-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
2002-02,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",75.1
2002-02,Nova Scotia,Total (house and land),"Index, 201612=100",68.3
2002-02,Nova Scotia,House only,"Index, 201612=100",67.6
2002-02,Nova Scotia,Land only,"Index, 201612=100",70.8
2002-02,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
2002-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
2002-02,"Halifax, Nova Scotia",Land only,"Index, 201612=100",70.8
2002-02,New Brunswick,Total (house and land),"Index, 201612=100",78.9
2002-02,New Brunswick,House only,"Index, 201612=100",79.3
2002-02,New Brunswick,Land only,"Index, 201612=100",79.2
2002-02,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",78.9
2002-02,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",79.3
2002-02,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",79.2
2002-02,Quebec,Total (house and land),"Index, 201612=100",62.0
2002-02,Quebec,House only,"Index, 201612=100",63.8
2002-02,Quebec,Land only,"Index, 201612=100",57.6
2002-02,"Québec, Quebec",Total (house and land),"Index, 201612=100",60.4
2002-02,"Québec, Quebec",House only,"Index, 201612=100",67.3
2002-02,"Québec, Quebec",Land only,"Index, 201612=100",47.5
2002-02,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2002-02,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2002-02,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2002-02,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2002-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2002-02,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2002-02,"Montréal, Quebec",Total (house and land),"Index, 201612=100",62.2
2002-02,"Montréal, Quebec",House only,"Index, 201612=100",63.0
2002-02,"Montréal, Quebec",Land only,"Index, 201612=100",60.5
2002-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2002-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2002-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2002-02,Ontario,Total (house and land),"Index, 201612=100",61.0
2002-02,Ontario,House only,"Index, 201612=100",54.2
2002-02,Ontario,Land only,"Index, 201612=100",78.8
2002-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",69.3
2002-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",67.5
2002-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",80.0
2002-02,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2002-02,"Oshawa, Ontario",House only,"Index, 201612=100",
2002-02,"Oshawa, Ontario",Land only,"Index, 201612=100",
2002-02,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.6
2002-02,"Toronto, Ontario",House only,"Index, 201612=100",48.9
2002-02,"Toronto, Ontario",Land only,"Index, 201612=100",78.1
2002-02,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.5
2002-02,"Hamilton, Ontario",House only,"Index, 201612=100",56.4
2002-02,"Hamilton, Ontario",Land only,"Index, 201612=100",77.3
2002-02,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.7
2002-02,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",58.7
2002-02,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",73.2
2002-02,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.2
2002-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.8
2002-02,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.6
2002-02,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2002-02,"Guelph, Ontario",House only,"Index, 201612=100",
2002-02,"Guelph, Ontario",Land only,"Index, 201612=100",
2002-02,"London, Ontario",Total (house and land),"Index, 201612=100",66.3
2002-02,"London, Ontario",House only,"Index, 201612=100",60.3
2002-02,"London, Ontario",Land only,"Index, 201612=100",92.8
2002-02,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
2002-02,"Windsor, Ontario",House only,"Index, 201612=100",96.4
2002-02,"Windsor, Ontario",Land only,"Index, 201612=100",86.4
2002-02,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.5
2002-02,"Greater Sudbury, Ontario",House only,"Index, 201612=100",81.6
2002-02,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.6
2002-02,Prairie Region,Total (house and land),"Index, 201612=100",48.1
2002-02,Prairie Region,House only,"Index, 201612=100",50.3
2002-02,Prairie Region,Land only,"Index, 201612=100",44.3
2002-02,Manitoba,Total (house and land),"Index, 201612=100",46.8
2002-02,Manitoba,House only,"Index, 201612=100",51.7
2002-02,Manitoba,Land only,"Index, 201612=100",35.2
2002-02,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.8
2002-02,"Winnipeg, Manitoba",House only,"Index, 201612=100",51.7
2002-02,"Winnipeg, Manitoba",Land only,"Index, 201612=100",35.2
2002-02,Saskatchewan,Total (house and land),"Index, 201612=100",43.5
2002-02,Saskatchewan,House only,"Index, 201612=100",44.8
2002-02,Saskatchewan,Land only,"Index, 201612=100",40.5
2002-02,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",39.0
2002-02,"Regina, Saskatchewan",House only,"Index, 201612=100",40.3
2002-02,"Regina, Saskatchewan",Land only,"Index, 201612=100",35.2
2002-02,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.7
2002-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.2
2002-02,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",44.3
2002-02,Alberta,Total (house and land),"Index, 201612=100",48.8
2002-02,Alberta,House only,"Index, 201612=100",50.8
2002-02,Alberta,Land only,"Index, 201612=100",45.5
2002-02,"Calgary, Alberta",Total (house and land),"Index, 201612=100",44.9
2002-02,"Calgary, Alberta",House only,"Index, 201612=100",46.2
2002-02,"Calgary, Alberta",Land only,"Index, 201612=100",43.2
2002-02,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",53.1
2002-02,"Edmonton, Alberta",House only,"Index, 201612=100",56.9
2002-02,"Edmonton, Alberta",Land only,"Index, 201612=100",46.2
2002-02,British Columbia,Total (house and land),"Index, 201612=100",75.7
2002-02,British Columbia,House only,"Index, 201612=100",73.5
2002-02,British Columbia,Land only,"Index, 201612=100",82.3
2002-02,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2002-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
2002-02,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2002-02,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",74.8
2002-02,"Vancouver, British Columbia",House only,"Index, 201612=100",71.0
2002-02,"Vancouver, British Columbia",Land only,"Index, 201612=100",85.9
2002-02,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.3
2002-02,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
2002-02,"Victoria, British Columbia",Land only,"Index, 201612=100",59.4
2002-03,Canada,Total (house and land),"Index, 201612=100",61.0
2002-03,Canada,House only,"Index, 201612=100",58.3
2002-03,Canada,Land only,"Index, 201612=100",68.2
2002-03,Atlantic Region,Total (house and land),"Index, 201612=100",65.8
2002-03,Atlantic Region,House only,"Index, 201612=100",67.2
2002-03,Atlantic Region,Land only,"Index, 201612=100",61.2
2002-03,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",51.4
2002-03,Newfoundland and Labrador,House only,"Index, 201612=100",53.1
2002-03,Newfoundland and Labrador,Land only,"Index, 201612=100",47.0
2002-03,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",51.4
2002-03,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",53.1
2002-03,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",47.0
2002-03,Prince Edward Island,Total (house and land),"Index, 201612=100",86.2
2002-03,Prince Edward Island,House only,"Index, 201612=100",88.6
2002-03,Prince Edward Island,Land only,"Index, 201612=100",75.1
2002-03,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",86.2
2002-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
2002-03,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",75.1
2002-03,Nova Scotia,Total (house and land),"Index, 201612=100",68.3
2002-03,Nova Scotia,House only,"Index, 201612=100",67.6
2002-03,Nova Scotia,Land only,"Index, 201612=100",70.8
2002-03,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",68.3
2002-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
2002-03,"Halifax, Nova Scotia",Land only,"Index, 201612=100",70.8
2002-03,New Brunswick,Total (house and land),"Index, 201612=100",78.9
2002-03,New Brunswick,House only,"Index, 201612=100",79.3
2002-03,New Brunswick,Land only,"Index, 201612=100",79.2
2002-03,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",78.9
2002-03,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",79.3
2002-03,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",79.2
2002-03,Quebec,Total (house and land),"Index, 201612=100",62.5
2002-03,Quebec,House only,"Index, 201612=100",64.3
2002-03,Quebec,Land only,"Index, 201612=100",58.3
2002-03,"Québec, Quebec",Total (house and land),"Index, 201612=100",60.6
2002-03,"Québec, Quebec",House only,"Index, 201612=100",67.7
2002-03,"Québec, Quebec",Land only,"Index, 201612=100",47.5
2002-03,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
2002-03,"Sherbrooke, Quebec",House only,"Index, 201612=100",
2002-03,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
2002-03,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
2002-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
2002-03,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
2002-03,"Montréal, Quebec",Total (house and land),"Index, 201612=100",62.8
2002-03,"Montréal, Quebec",House only,"Index, 201612=100",63.5
2002-03,"Montréal, Quebec",Land only,"Index, 201612=100",61.4
2002-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
2002-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
2002-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
2002-03,Ontario,Total (house and land),"Index, 201612=100",61.1
2002-03,Ontario,House only,"Index, 201612=100",54.2
2002-03,Ontario,Land only,"Index, 201612=100",78.8
2002-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",69.7
2002-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",68.0
2002-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",80.0
2002-03,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
2002-03,"Oshawa, Ontario",House only,"Index, 201612=100",
2002-03,"Oshawa, Ontario",Land only,"Index, 201612=100",
2002-03,"Toronto, Ontario",Total (house and land),"Index, 201612=100",57.6
2002-03,"Toronto, Ontario",House only,"Index, 201612=100",49.0
2002-03,"Toronto, Ontario",Land only,"Index, 201612=100",78.1
2002-03,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",62.3
2002-03,"Hamilton, Ontario",House only,"Index, 201612=100",56.2
2002-03,"Hamilton, Ontario",Land only,"Index, 201612=100",77.3
2002-03,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",62.5
2002-03,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",58.5
2002-03,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",73.2
2002-03,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",68.3
2002-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",62.9
2002-03,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.6
2002-03,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
2002-03,"Guelph, Ontario",House only,"Index, 201612=100",
2002-03,"Guelph, Ontario",Land only,"Index, 201612=100",
2002-03,"London, Ontario",Total (house and land),"Index, 201612=100",66.1
2002-03,"London, Ontario",House only,"Index, 201612=100",60.1
2002-03,"London, Ontario",Land only,"Index, 201612=100",92.8
2002-03,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
2002-03,"Windsor, Ontario",House only,"Index, 201612=100",96.4
2002-03,"Windsor, Ontario",Land only,"Index, 201612=100",86.4
2002-03,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",81.0
2002-03,"Greater Sudbury, Ontario",House only,"Index, 201612=100",80.9
2002-03,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.6
2002-03,Prairie Region,Total (house and land),"Index, 201612=100",48.6
2002-03,Prairie Region,House only,"Index, 201612=100",50.9
2002-03,Prairie Region,Land only,"Index, 201612=100",44.4
2002-03,Manitoba,Total (house and land),"Index, 201612=100",47.0
2002-03,Manitoba,House only,"Index, 201612=100",52.0
2002-03,Manitoba,Land only,"Index, 201612=100",35.4
2002-03,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",47.0
2002-03,"Winnipeg, Manitoba",House only,"Index, 201612=100",52.0
2002-03,"Winnipeg, Manitoba",Land only,"Index, 201612=100",35.4
2002-03,Saskatchewan,Total (house and land),"Index, 201612=100",43.8
2002-03,Saskatchewan,House only,"Index, 201612=100",45.0
2002-03,Saskatchewan,Land only,"Index, 201612=100",40.8
2002-03,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",39.0
2002-03,"Regina, Saskatchewan",House only,"Index, 201612=100",40.3
2002-03,"Regina, Saskatchewan",Land only,"Index, 201612=100",35.3
2002-03,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",48.1
2002-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
2002-03,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",44.7
2002-03,Alberta,Total (house and land),"Index, 201612=100",49.2
2002-03,Alberta,House only,"Index, 201612=100",51.5
2002-03,Alberta,Land only,"Index, 201612=100",45.5
2002-03,"Calgary, Alberta",Total (house and land),"Index, 201612=100",45.4
2002-03,"Calgary, Alberta",House only,"Index, 201612=100",46.9
2002-03,"Calgary, Alberta",Land only,"Index, 201612=100",43.3
2002-03,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",53.6
2002-03,"Edmonton, Alberta",House only,"Index, 201612=100",57.7
2002-03,"Edmonton, Alberta",Land only,"Index, 201612=100",46.4
2002-03,British Columbia,Total (house and land),"Index, 201612=100",76.0
2002-03,British Columbia,House only,"Index, 201612=100",73.9
2002-03,British Columbia,Land only,"Index, 201612=100",82.3
2002-03,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
2002-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
2002-03,"Kelowna, British Columbia",Land only,"Index, 201612=100",
2002-03,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",75.0
2002-03,"Vancouver, British Columbia",House only,"Index, 201612=100",71.4
2002-03,"Vancouver, British Columbia",Land only,"Index, 201612=100",85.9
2002-03,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",84.3
2002-03,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
2002-03,"Victoria, British Columbia",Land only,"Index, 201612=100",59.4
2002-04,Canada,Total (house and land),"Index, 201612=100",61.4
2002-04,Canada,House only,"Index, 201612=100",58.9
2002-04,Canada,Land only,"Index, 201612=100",68.3
2002-04,Atlantic Region,Total (house and land),"Index, 201612=100",66.0
2002-04,Atlantic Region,House only,"Index, 201612=100",67.5
2002-04,Atlantic Region,Land only,"Index, 201612=100",61.2
2002-04,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",51.3
2002-04,Newfoundland and Labrador,House only,"Index, 201612=100",52.9
2002-04,Newfoundland and Labrador,Land only,"Index, 201612=100",47.0
2002-04,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",51.3
2002-04,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",52.9
2002-04,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",47.0
2002-04,Prince Edward Island,Total (house and land),"Index, 201612=100",86.2
2002-04,Prince Edward Island,House only,"Index, 201612=100",88.6
2002-04,Prince Edward Island,Land only,"Index, 201612=100",75.1
2002-04,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",86.2
2002-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
2002-04,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",75.1
2002-04,Nova Scotia,Total (house and land),"Index, 201612=100",69.0
2002-04,Nova Scotia,House only,"Index, 201612=100",68.4
2002-04,Nova Scotia,Land only,"Index, 201612=100",70.8
2002-04,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",69.0
2002-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.4
2002-04,"Halifax, Nova Scotia",Land only,"Index, 201612=100",70.8
2002-04,New Brunswick,Total (house and land),"Index, 201612=100",78.9
2002-04,New Brunswick,House only,"Index, 201612=100",79.3
2002-04,New Brunswick,Land only,"Index, 201612=100",79.2
2002-04,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",78.9
2002-04,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",79.3
2002-04,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",79.2
2002-04,Quebec,Total (house and land),"Index, 201612=100",63.4
