Date (Year-Month),Location,Category,Reference_Index,Index(%)
1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",39.9
1981-02,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1981-02,"Oshawa, Ontario",House only,"Index, 201612=100",
1981-02,"Oshawa, Ontario",Land only,"Index, 201612=100",
1981-02,"Toronto, Ontario",Total (house and land),"Index, 201612=100",28.5
1981-02,"Toronto, Ontario",House only,"Index, 201612=100",23.2
1981-02,"Toronto, Ontario",Land only,"Index, 201612=100",39.3
1981-02,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",30.4
1981-02,"Hamilton, Ontario",House only,"Index, 201612=100",24.9
1981-02,"Hamilton, Ontario",Land only,"Index, 201612=100",46.0
1981-02,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",30.8
1981-02,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",28.6
1981-02,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",35.6
1981-02,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",34.1
1981-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.5
1981-02,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",43.5
1981-02,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1981-02,"Guelph, Ontario",House only,"Index, 201612=100",
1981-02,"Guelph, Ontario",Land only,"Index, 201612=100",
1981-02,"London, Ontario",Total (house and land),"Index, 201612=100",32.3
1981-02,"London, Ontario",House only,"Index, 201612=100",27.5
1981-02,"London, Ontario",Land only,"Index, 201612=100",51.4
1981-02,"Windsor, Ontario",Total (house and land),"Index, 201612=100",61.2
1981-02,"Windsor, Ontario",House only,"Index, 201612=100",64.9
1981-02,"Windsor, Ontario",Land only,"Index, 201612=100",47.5
1981-02,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",55.4
1981-02,"Greater Sudbury, Ontario",House only,"Index, 201612=100",55.6
1981-02,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",52.1
1981-02,Prairie Region,Total (house and land),"Index, 201612=100",
1981-02,Prairie Region,House only,"Index, 201612=100",
1981-02,Prairie Region,Land only,"Index, 201612=100",
1981-02,Manitoba,Total (house and land),"Index, 201612=100",
1981-02,Manitoba,House only,"Index, 201612=100",
1981-02,Manitoba,Land only,"Index, 201612=100",
1981-02,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",26.9
1981-02,"Winnipeg, Manitoba",House only,"Index, 201612=100",29.7
1981-02,"Winnipeg, Manitoba",Land only,"Index, 201612=100",18.7
