Date (Year),Location,Property category,Average(C$)
2012,"Sherbrooke, Quebec",Residential,16070.1
2012,"Trois-Rivières, Quebec",Residential,8729.4
2012,"Barrie, Ontario",Residential,20338.5
2012,"Brantford, Ontario",Residential,11167.6
2012,"Greater Sudbury, Ontario",Residential,13931.1
2012,"Guelph, Ontario",Residential,16906.7
2012,"Hamilton, Ontario",Residential,82659.9
2012,"Kingston, Ontario",Residential,16841.0
2012,"Kitchener-Cambridge-Waterloo, Ontario",Residential,49457.4
2012,"London, Ontario",Residential,42715.7
2012,"Oshawa, Ontario",Residential,36682.2
2012,"Ottawa-Gatineau, Ontario/Quebec",Residential,152235.9
2012,Ottawa part,Residential,123384.1
2012,Gatineau part,Residential,28851.8
2012,"Peterborough, Ontario",Residential,12056.7
2012,"St. Catharines-Niagara, Ontario",Residential,35539.8
2012,"Thunder Bay, Ontario",Residential,8797.0
2012,"Toronto, Ontario",Residential,886014.9
2012,"Windsor, Ontario",Residential,21186.3
2012,"Winnipeg, Manitoba",Residential,66558.8
2012,"Regina, Saskatchewan",Residential,25873.3
2012,"Saskatoon, Saskatchewan",Residential,31934.2
2012,"Calgary, Alberta",Residential,197120.2
2012,"Edmonton, Alberta",Residential,158999.3
2012,"Kelowna, British Columbia",Residential,30038.1
2012,"Abbotsford-Mission, British Columbia",Residential,18500.3
2012,"Vancouver, British Columbia",Residential,527883.7
2012,"Victoria, British Columbia",Residential,64578.8
2013,Canada,Residential,4231242.2
2013,Newfoundland and Labrador,Residential,43395.6
2013,Prince Edward Island,Residential,6533.8
2013,Nova Scotia,Residential,72839.2
2013,New Brunswick,Residential,38954.6
2013,Quebec,Residential,731331.1
2013,Ontario,Residential,1751581.1
2013,Manitoba,Residential,100934.9
2013,Saskatchewan,Residential,105563.2
2013,Alberta,Residential,534974.9
2013,British Columbia,Residential,838144.5
2013,Yukon,Residential,2217.3
2013,Northwest Territories,Residential,3531.3
2013,Nunavut,Residential,1240.8
2013,Total census metropolitan areas,Residential,3245004.7
2013,"St. John's, Newfoundland and Labrador",Residential,22945.6
2013,"Halifax, Nova Scotia",Residential,39238.6
2013,"Saint John, New Brunswick",Residential,7834.9
2013,"Moncton, New Brunswick",Residential,8380.3
2013,"Montréal, Quebec",Residential,405680.3
2013,"Québec, Quebec",Residential,75313.8
2013,"Saguenay, Quebec",Residential,11760.8
2013,"Sherbrooke, Quebec",Residential,16737.1
2013,"Trois-Rivières, Quebec",Residential,9054.3
2013,"Barrie, Ontario",Residential,21528.1
2013,"Brantford, Ontario",Residential,11643.2
2013,"Greater Sudbury, Ontario",Residential,15039.0
2013,"Guelph, Ontario",Residential,18206.6
2013,"Hamilton, Ontario",Residential,87199.8
2013,"Kingston, Ontario",Residential,17561.9
2013,"Kitchener-Cambridge-Waterloo, Ontario",Residential,51903.5
2013,"London, Ontario",Residential,42536.6
2013,"Oshawa, Ontario",Residential,39309.5
2013,"Ottawa-Gatineau, Ontario/Quebec",Residential,157734.8
2013,Ottawa part,Residential,127776.1
2013,Gatineau part,Residential,29958.7
2013,"Peterborough, Ontario",Residential,12307.0
2013,"St. Catharines-Niagara, Ontario",Residential,35965.3
2013,"Thunder Bay, Ontario",Residential,10407.3
2013,"Toronto, Ontario",Residential,947575.6
2013,"Windsor, Ontario",Residential,21732.9
2013,"Winnipeg, Manitoba",Residential,71267.1
2013,"Regina, Saskatchewan",Residential,28068.1
2013,"Saskatoon, Saskatchewan",Residential,34549.7
2013,"Calgary, Alberta",Residential,211930.9
2013,"Edmonton, Alberta",Residential,167498.5
2013,"Kelowna, British Columbia",Residential,29924.4
2013,"Abbotsford-Mission, British Columbia",Residential,18446.0
2013,"Vancouver, British Columbia",Residential,532842.9
2013,"Victoria, British Columbia",Residential,62880.2
2014,Canada,Residential,4488411.6
2014,Newfoundland and Labrador,Residential,44149.0
2014,Prince Edward Island,Residential,6774.7
2014,Nova Scotia,Residential,73571.4
